"","Date","location","count","status","year","month","day","julian"
"1",2014-06-20,"Britannia",24.59509486,"Swim","2014",6,20,171
"2",2014-06-20,"Westboro",39.48700972,"Swim","2014",6,20,171
"3",2014-06-20,"Mooneys",15.51845574,"Swim","2014",6,20,171
"4",2014-06-20,"PetrieEast",37.27919273,"Swim","2014",6,20,171
"5",2014-06-20,"PetrieRiver",47.50156515,"Swim","2014",6,20,171
"6",2014-06-21,"Britannia",13.19507911,"Swim","2014",6,21,172
"7",2014-06-21,"Westboro",11.48698355,"Swim","2014",6,21,172
"8",2014-06-21,"Mooneys",31.77671523,"Swim","2014",6,21,172
"9",2014-06-21,"PetrieEast",14.30969081,"Swim","2014",6,21,172
"10",2014-06-21,"PetrieRiver",30.63887063,"Swim","2014",6,21,172
"11",2014-06-22,"Britannia",35.19482029,"Swim","2014",6,22,173
"12",2014-06-22,"Westboro",11.48698355,"Swim","2014",6,22,173
"13",2014-06-22,"Mooneys",10,"Swim","2014",6,22,173
"14",2014-06-22,"PetrieEast",17.41101127,"Swim","2014",6,22,173
"15",2014-06-22,"PetrieRiver",36.50186051,"Swim","2014",6,22,173
"16",2014-06-23,"Britannia",14.30969081,"Swim","2014",6,23,174
"17",2014-06-23,"Westboro",29.92555739,"Swim","2014",6,23,174
"18",2014-06-23,"Mooneys",20.47672511,"Swim","2014",6,23,174
"19",2014-06-23,"PetrieEast",22.67933155,"Swim","2014",6,23,174
"20",2014-06-23,"PetrieRiver",24.70114491,"Swim","2014",6,23,174
"21",2014-06-24,"Britannia",10,"Rain","2014",6,24,175
"22",2014-06-24,"Westboro",60,"Rain","2014",6,24,175
"23",2014-06-24,"Mooneys",28.61938162,"Rain","2014",6,24,175
"24",2014-06-24,"PetrieEast",13.19507911,"Rain","2014",6,24,175
"25",2014-06-24,"PetrieRiver",29.57972968,"Rain","2014",6,24,175
"26",2014-06-25,"Britannia",17,"Rain","2014",6,25,176
"27",2014-06-25,"Westboro",508,"Rain","2014",6,25,176
"28",2014-06-25,"Mooneys",830,"Rain","2014",6,25,176
"29",2014-06-25,"PetrieEast",87,"Rain","2014",6,25,176
"30",2014-06-25,"PetrieRiver",1000,"Rain","2014",6,25,176
"31",2014-06-26,"Britannia",53,"Swim","2014",6,26,177
"32",2014-06-26,"Westboro",456,"NoSwim","2014",6,26,177
"33",2014-06-26,"Mooneys",109,"NoSwim","2014",6,26,177
"34",2014-06-26,"PetrieEast",736,"NoSwim","2014",6,26,177
"35",2014-06-26,"PetrieRiver",404,"NoSwim","2014",6,26,177
"36",2014-06-27,"Britannia",31,"Swim","2014",6,27,178
"37",2014-06-27,"Westboro",99,"NoSwim","2014",6,27,178
"38",2014-06-27,"Mooneys",45,"Swim","2014",6,27,178
"39",2014-06-27,"PetrieEast",187,"NoSwim","2014",6,27,178
"40",2014-06-27,"PetrieRiver",135,"NoSwim","2014",6,27,178
"41",2014-06-28,"Britannia",20,"Swim","2014",6,28,179
"42",2014-06-28,"Westboro",23,"Swim","2014",6,28,179
"43",2014-06-28,"Mooneys",41,"Swim","2014",6,28,179
"44",2014-06-28,"PetrieEast",88,"Swim","2014",6,28,179
"45",2014-06-28,"PetrieRiver",73,"Swim","2014",6,28,179
"46",2014-06-29,"Britannia",27,"Swim","2014",6,29,180
"47",2014-06-29,"Westboro",19,"Swim","2014",6,29,180
"48",2014-06-29,"Mooneys",32,"Swim","2014",6,29,180
"49",2014-06-29,"PetrieEast",57,"Swim","2014",6,29,180
"50",2014-06-29,"PetrieRiver",50,"Swim","2014",6,29,180
"51",2014-06-30,"Britannia",24,"Swim","2014",6,30,181
"52",2014-06-30,"Westboro",27,"Swim","2014",6,30,181
"53",2014-06-30,"Mooneys",59,"Swim","2014",6,30,181
"54",2014-06-30,"PetrieEast",29,"Swim","2014",6,30,181
"55",2014-06-30,"PetrieRiver",39,"Swim","2014",6,30,181
"56",2014-07-01,"Britannia",16,"Swim","2014",7,1,182
"57",2014-07-01,"Westboro",11,"Swim","2014",7,1,182
"58",2014-07-01,"Mooneys",20,"Swim","2014",7,1,182
"59",2014-07-01,"PetrieEast",26,"Swim","2014",7,1,182
"60",2014-07-01,"PetrieRiver",22,"Swim","2014",7,1,182
"61",2014-07-02,"Britannia",95,"Swim","2014",7,2,183
"62",2014-07-02,"Westboro",25,"Swim","2014",7,2,183
"63",2014-07-02,"Mooneys",75,"Swim","2014",7,2,183
"64",2014-07-02,"PetrieEast",16,"Swim","2014",7,2,183
"65",2014-07-02,"PetrieRiver",217,"NoSwim","2014",7,2,183
"66",2014-07-03,"Britannia",18,"Swim","2014",7,3,184
"67",2014-07-03,"Westboro",21,"Swim","2014",7,3,184
"68",2014-07-03,"Mooneys",1000,"NoSwim","2014",7,3,184
"69",2014-07-03,"PetrieEast",22,"Swim","2014",7,3,184
"70",2014-07-03,"PetrieRiver",62,"Swim","2014",7,3,184
"71",2014-07-04,"Britannia",22,"Swim","2014",7,4,185
"72",2014-07-04,"Westboro",14,"Swim","2014",7,4,185
"73",2014-07-04,"Mooneys",72,"Swim","2014",7,4,185
"74",2014-07-04,"PetrieEast",30,"Swim","2014",7,4,185
"75",2014-07-04,"PetrieRiver",122,"Swim","2014",7,4,185
"76",2014-07-05,"Britannia",12,"Swim","2014",7,5,186
"77",2014-07-05,"Westboro",26,"Swim","2014",7,5,186
"78",2014-07-05,"Mooneys",24,"Swim","2014",7,5,186
"79",2014-07-05,"PetrieEast",34,"Swim","2014",7,5,186
"80",2014-07-05,"PetrieRiver",27,"Swim","2014",7,5,186
"81",2014-07-06,"Britannia",16,"Swim","2014",7,6,187
"82",2014-07-06,"Westboro",11,"Swim","2014",7,6,187
"83",2014-07-06,"Mooneys",35,"Swim","2014",7,6,187
"84",2014-07-06,"PetrieEast",20,"Swim","2014",7,6,187
"85",2014-07-06,"PetrieRiver",29,"Swim","2014",7,6,187
