"date","julian","year","location","count","status","Tmax","Tmean","Tmin","rain"
2014-06-20,171,"2014","Britannia",24.59509486,"Swim",21.8,16.6,11.4,0
2014-06-20,171,"2014","Westboro",39.48700972,"Swim",21.8,16.6,11.4,0
2014-06-20,171,"2014","Mooneys",15.51845574,"Swim",21.8,16.6,11.4,0
2014-06-20,171,"2014","PetrieEast",37.27919273,"Swim",21.8,16.6,11.4,0
2014-06-20,171,"2014","PetrieRiver",47.50156515,"Swim",21.8,16.6,11.4,0
2014-06-21,172,"2014","Britannia",13.19507911,"Swim",24.4,18,11.5,0
2014-06-21,172,"2014","Westboro",11.48698355,"Swim",24.4,18,11.5,0
2014-06-21,172,"2014","Mooneys",31.77671523,"Swim",24.4,18,11.5,0
2014-06-21,172,"2014","PetrieEast",14.30969081,"Swim",24.4,18,11.5,0
2014-06-21,172,"2014","PetrieRiver",30.63887063,"Swim",24.4,18,11.5,0
2014-06-22,173,"2014","Britannia",35.19482029,"Swim",26,18.9,11.7,0
2014-06-22,173,"2014","Westboro",11.48698355,"Swim",26,18.9,11.7,0
2014-06-22,173,"2014","Mooneys",10,"Swim",26,18.9,11.7,0
2014-06-22,173,"2014","PetrieEast",17.41101127,"Swim",26,18.9,11.7,0
2014-06-22,173,"2014","PetrieRiver",36.50186051,"Swim",26,18.9,11.7,0
2014-06-23,174,"2014","Britannia",14.30969081,"Swim",26.9,18.8,10.7,0
2014-06-23,174,"2014","Westboro",29.92555739,"Swim",26.9,18.8,10.7,0
2014-06-23,174,"2014","Mooneys",20.47672511,"Swim",26.9,18.8,10.7,0
2014-06-23,174,"2014","PetrieEast",22.67933155,"Swim",26.9,18.8,10.7,0
2014-06-23,174,"2014","PetrieRiver",24.70114491,"Swim",26.9,18.8,10.7,0
2014-06-24,175,"2014","Britannia",10,"Rain",21.8,20.4,19,55.6
2014-06-24,175,"2014","Westboro",60,"Rain",21.8,20.4,19,55.6
2014-06-24,175,"2014","Mooneys",28.61938162,"Rain",21.8,20.4,19,55.6
2014-06-24,175,"2014","PetrieEast",13.19507911,"Rain",21.8,20.4,19,55.6
2014-06-24,175,"2014","PetrieRiver",29.57972968,"Rain",21.8,20.4,19,55.6
2014-06-25,176,"2014","Britannia",17,"Rain",24.5,21.4,18.3,0.4
2014-06-25,176,"2014","Westboro",508,"Rain",24.5,21.4,18.3,0.4
2014-06-25,176,"2014","Mooneys",830,"Rain",24.5,21.4,18.3,0.4
2014-06-25,176,"2014","PetrieEast",87,"Rain",24.5,21.4,18.3,0.4
2014-06-25,176,"2014","PetrieRiver",1000,"Rain",24.5,21.4,18.3,0.4
2014-06-26,177,"2014","Britannia",53,"Swim",28.3,21.2,14,0
2014-06-26,177,"2014","Westboro",456,"NoSwim",28.3,21.2,14,0
2014-06-26,177,"2014","Mooneys",109,"NoSwim",28.3,21.2,14,0
2014-06-26,177,"2014","PetrieEast",736,"NoSwim",28.3,21.2,14,0
2014-06-26,177,"2014","PetrieRiver",404,"NoSwim",28.3,21.2,14,0
2014-06-27,178,"2014","Britannia",31,"Swim",29.6,20.8,11.9,0
