Date,Britannia ,Westboro,Mooneys,PetrieEast,PetrieRiver
2014-06-20,24.59509486,39.48700972,15.51845574,37.27919273,47.50156515
2014-06-21,13.19507911,11.48698355,31.77671523,14.30969081,30.63887063
2014-06-22,35.19482029,11.48698355,10,17.41101127,36.50186051
2014-06-23,14.30969081,29.92555739,20.47672511,22.67933155,24.70114491
2014-06-24,10,60,28.61938162,13.19507911,29.57972968
2014-06-25,17,508,830,87,1000
2014-06-26,53,456,109,736,404
2014-06-27,31,99,45,187,135
2014-06-28,20,23,41,88,73
2014-06-29,27,19,32,57,50
2014-06-30,24,27,59,29,39
2014-07-01,16,11,20,26,22
2014-07-02,95,25,75,16,217
2014-07-03,18,21,1000,22,62
2014-07-04,22,14,72,30,122
2014-07-05,12,26,24,34,27
2014-07-06,16,11,35,20,29
2014-07-07,12,18,207,10,39
2014-07-08,13,20,24,14,157
2014-07-09,36,151,1000,38,604
2014-07-10,30,45,31,182,242
2014-07-11,16,22,19,32,59
2014-07-12,12,15,24,16,29
2014-07-13,10,16,31,10,25
2014-07-14,22,18,262,11,215
2014-07-15,18,17,18,18,81
2014-07-16,10,19,79,17,40
2014-07-17,18,52,22,14,22
2014-07-18,13,25,54,15,18
2014-07-19,10,36,17,26,37
2014-07-20,24,23,10,22,23
2014-07-21,29,29,27,36,27
2014-07-22,11,10,33,29,16
2014-07-23,15,33,118,11,21
2014-07-24,17,11,33,10,20
2014-07-25,10,21,26,10,27
2014-07-26,18,11,27,11,37
2014-07-27,11,27,16,10,30
2014-07-28,11,139,44,10,28
2014-07-29,10,40,41,10,26
2014-07-30,17,45,24,14,35
2014-07-31,13,40,29,15,89
2014-08-01,17,39,47,23,57
2014-08-02,19,24,124,28,55
2014-08-03,73,39,22,18,19
2014-08-04,26,17,37,10,17
2014-08-05,25,34,45,10,34
2014-08-06,23,22,14,10,19
2014-08-07,60,15,24,11,22
2014-08-08,53,27,16,26,32
2014-08-09,11,10,14,10,41
2014-08-10,14,16,50,24,31
2014-08-11,13,16,37,33,40
2014-08-12,18,43,16,31,35
2014-08-13,24,160,116,34,156
2014-08-14,71,77,426,35,422
2014-08-15,10,133,53,142,115
2014-08-16,20,75,31,33,35
2015-06-19,17.82602458,66.58676704,82.34304911,33.65865436,62.15819767
2015-06-20,11.48698355,31.29134645,13.79729661,42.2733586,63.81605689
2015-06-21,10,37.43324423,51.43520797,16.4375183,45.80344098
2015-06-22,10,69.48691054,595.5631994,15.15716567,44.25949491
2015-06-23,10,45.35866311,22.67933155,15.51845574,25.0639078
2015-06-24,213.1810674,29.30156052,87.65405251,16.4375183,30.45261198
2015-06-25,33.65865436,36.80109614,21.68943542,15.15716567,27.61745565
2015-06-26,12.4573094,37.91955329,44.35100411,13.19507911,35.61463806
2015-06-27,10,75.99325238,14.30969081,13.19507911,35.19482029
2015-06-28,12.4573094,195.1518317,24.59509486,262.7703436,21.68943542
