Date,Britannia ,Westboro,Mooneys,PetrieEast,PetrieRiver
2014-06-20,Swim,Swim,Swim,Swim,Swim
2014-06-21,Swim,Swim,Swim,Swim,Swim
2014-06-22,Swim,Swim,Swim,Swim,Swim
2014-06-23,Swim,Swim,Swim,Swim,Swim
2014-06-24,Rain,Rain,Rain,Rain,Rain
2014-06-25,Rain,Rain,Rain,Rain,Rain
2014-06-26,Swim,NoSwim,NoSwim,NoSwim,NoSwim
2014-06-27,Swim,NoSwim,Swim,NoSwim,NoSwim
2014-06-28,Swim,Swim,Swim,Swim,Swim
2014-06-29,Swim,Swim,Swim,Swim,Swim
2014-06-30,Swim,Swim,Swim,Swim,Swim
2014-07-01,Swim,Swim,Swim,Swim,Swim
2014-07-02,Swim,Swim,Swim,Swim,NoSwim
2014-07-03,Swim,Swim,NoSwim,Swim,Swim
2014-07-04,Swim,Swim,Swim,Swim,Swim
2014-07-05,Swim,Swim,Swim,Swim,Swim
2014-07-06,Swim,Swim,Swim,Swim,Swim
2014-07-07,Swim,Swim,NoSwim,Swim,Rain
2014-07-08,Swim,Rain,Rain,Rain,Rain
2014-07-09,Swim,Swim,NoSwim,Swim,NoSwim
2014-07-10,Swim,Swim,Swim,Swim,NoSwim
2014-07-11,Swim,Swim,Swim,Swim,Swim
2014-07-12,Swim,Swim,Swim,Swim,Swim
2014-07-13,Swim,Rain,Rain,Rain,Rain
2014-07-14,Swim,Swim,NoSwim,Swim,NoSwim
2014-07-15,Swim,Swim,Swim,Swim,Swim
2014-07-16,Swim,Swim,Swim,Swim,Swim
2014-07-17,Swim,Swim,Swim,Swim,Swim
2014-07-18,Swim,Swim,Swim,Swim,Swim
2014-07-19,Swim,Swim,Swim,Swim,Swim
2014-07-20,Swim,Swim,Swim,Swim,Swim
2014-07-21,Swim,Swim,Swim,Swim,Swim
2014-07-22,Swim,Swim,Swim,Swim,Swim
2014-07-23,Swim,Swim,Swim,Swim,Swim
2014-07-24,Swim,Swim,Swim,Swim,Swim
2014-07-25,Swim,Swim,Swim,Swim,Swim
2014-07-26,Swim,Swim,Swim,Swim,Swim
2014-07-27,Swim,Swim,Swim,Swim,Swim
2014-07-28,Swim,Swim,Swim,Swim,Swim
2014-07-29,Swim,Swim,Swim,Swim,Swim
2014-07-30,Swim,Rain,Rain,Rain,Rain
2014-07-31,Swim,Rain,Swim,Swim,Swim
2014-08-01,Swim,Swim,Swim,Swim,Swim
2014-08-02,Swim,Swim,Swim,Swim,Swim
2014-08-03,Swim,Swim,Swim,Swim,Swim
2014-08-04,Swim,Swim,Swim,Swim,Swim
2014-08-05,Swim,Swim,Swim,Swim,Swim
2014-08-06,Swim,Swim,Swim,Swim,Swim
2014-08-07,Swim,Swim,Swim,Swim,Swim
2014-08-08,Swim,Swim,Swim,Swim,Swim
2014-08-09,Swim,Swim,Swim,Swim,Swim
2014-08-10,Swim,Swim,Swim,Swim,Swim
2014-08-11,Swim,Swim,Swim,Swim,Swim
2014-08-12,Rain,Rain,Rain,Rain,Rain
2014-08-13,Swim,Rain,Swim,Swim,Rain
2014-08-14,Swim,Swim,NoSwim,Swim,NoSwim
2014-08-15,Swim,Swim,Swim,Swim,NoSwim
2014-08-16,Swim,Swim,Swim,Swim,Swim
2015-06-19,Swim,Swim,Swim,Swim,Swim
2015-06-20,Swim,Swim,Swim,Swim,Swim
2015-06-21,Swim,Swim,Swim,Swim,Swim
2015-06-22,Swim,Swim,NoSwim,Swim,Swim
2015-06-23,Swim,Swim,Swim,Swim,Swim
