"Year","Location","E. coli Median","Minimum","Maximum","Geometric Mean","Arithmetic Mean","Std. dev"
"2014","Britannia",17.5,10,95,19.1939125867305,22.9533566391379,17.24375795124
"2015","Britannia",19.102821015,10,312.8168773,27.0130465475313,44.5986969901724,59.2650032704752
"2016","Britannia",20.238362555,10,132.7228519,23.9666317037176,32.3515380216667,28.8591704525981
"2017","Britannia",26.17943975,9.191661188,866.1392117,33.3887195736064,62.6591276551806,114.376520484829
"2018","Britannia",17.618517925,10,278.3326127,24.871137432735,41.2931189105556,57.9517363996924
"2019","Britannia",42.936483435,10,789.4314608,47.2031305296958,93.2780166934722,151.933097424775
"2014","Mooneys",31.888357615,10,1000,42.4345509915633,98.9032978913793,210.744916569565
"2015","Mooneys",43.998833055,10,1000,44.446522486593,79.5216932718966,148.632786600386
"2016","Mooneys",27.95779117,10,1000,40.6536744439758,97.6736090543056,169.041883755927
"2017","Mooneys",82.917594625,12.19755409,992.662255,95.6445274826794,165.166153520694,190.314392265826
"2018","Mooneys",25.2115544,10,933.79527,34.1542074100731,66.9801788779167,133.880130894647
"2019","Mooneys",19.74350486,10,537.6029561,27.0725099236743,46.4968603483333,82.0644452820635
"2014","PetrieEast",21,10,736,23.329719021143,43.2047294046552,99.5792455017247
"2015","PetrieEast",27.41764625,10,278.7075104,30.7727615853589,47.0642186748276,56.5566964601174
"2016","PetrieEast",35.631023395,10,528.8513007,42.2595357058582,75.7653802388889,99.7206362711185
"2017","PetrieEast",59.54882097,11.24746113,1000,60.8302242110288,120.434996200299,196.877439307751
"2018","PetrieEast",40.86136251,10,1000,51.8577711942293,133.578333839444,235.045453219492
"2019","PetrieEast",33.32485142,10,300.7371096,34.49102587188,53.4592192086207,60.32039477402
"2014","PetrieRiver",35.750930255,16,1000,49.5486010456425,93.550399497931,163.104871634021
"2015","PetrieRiver",44.331593035,20.27844745,352.3687436,53.1852768439408,66.9453005284483,59.2191196322239
"2016","PetrieRiver",51.692674865,15.15716567,1000,68.8023377398686,132.2017121,195.041200570072
"2017","PetrieRiver",67.5954889,24.02248868,1000,84.8572908087655,151.102463920615,219.976287839378
"2018","PetrieRiver",45.72243143,14.30969081,1000,58.3944687271776,93.8496283744444,139.854379123695
"2019","PetrieRiver",46.934327995,13.19507911,556.4127575,55.7842023120512,87.7283447196552,114.929552495725
"2014","Westboro",25,10,508,30.2691283296891,52.1101126587931,89.1340171450679
"2015","Westboro",25.78010043,10,566.762977,30.1033487240916,51.5798211246552,93.3622895832984
"2016","Westboro",36.935420975,10,364.6094652,35.767408767686,53.6884810819444,64.7626773528477
"2017","Westboro",57.661634755,9.587315155,1000,59.7207272203486,105.211802967986,153.157535496882
"2018","Westboro",41.03806767,10,1000,47.1690808301982,92.0219219556945,180.316497391105
"2019","Westboro",51.059877955,11.48698355,534.2581407,56.4096176946938,96.7782907756944,117.308175291415
